,0
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL4282.csv,"[1.6333458144884234, 1.3809789574820828, 1.2031990466869087, 1.1022168571783244]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL2871.csv,"[2.259613678139287, 1.7082764669678459, 1.38782967552234, 0.9866964447837144]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL247.csv,"[1.3161908113719856, 1.2698742716244475, 1.2726581921340974, 1.108793045165421]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL205.csv,"[2.9520770231830142, 1.5269008856085313, 1.5902860716281457, 1.2798282727491632]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL4015.csv,"[1.179701120143813, 1.3024455410277866, 1.2260082406839108, 1.1649922394205996]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL1981.csv,"[1.0005704487720264, 0.7134829609286255, 0.6520042930986789, 0.49748414421060294]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL4722.csv,"[1.4181924965616168, 1.189895376216095, 1.241253793384532, 1.1461801191853591]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL2334.csv,"[4.568936250459097, 2.4759372405684195, 2.5729508501917917, 2.6110537314239535]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL4124.csv,"[0.8846347161714843, 0.9205750613912514, 0.7221407848771918, 0.624416534151128]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL301.csv,"[2.252816041437939, 1.431676669212121, 1.2561713559877907, 1.1472794454330397]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL3105.csv,"[1.005865507442412, 0.8134089531461544, 1.0400759052363342, 0.5353815930857848]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL3229.csv,"[3.1259459727289465, 1.634834502919113, 1.5593790800023406, 1.5531382552530302]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL4805.csv,"[0.8548860412869731, 0.7223350897560787, 0.7005572753913711, 0.6913543710233024]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL224.csv,"[1.6553708456814713, 1.721689882755088, 1.5093536614100018, 1.411871232560866]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL1907596.csv,"[3.177009686709029, 2.915696382492015, 2.16367872442211, 1.5220767189749151]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL226.csv,"[1.2917474393946187, 1.2255887161040648, 1.1424292912982006, 1.0734260997752878]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL213.csv,"[1.585348033356208, 1.487976446065279, 1.247563154043485, 1.038013832758985]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL313.csv,"[2.4054721557022867, 1.9570837668566172, 1.8043008035559103, 1.458241507234628]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL321.csv,"[3.195617315782593, 1.7642921578467665, 1.3450052297537496, 1.230963414706255]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL231.csv,"[1.6785050203560576, 1.476829048348666, 1.260106692221069, 0.9521487441081381]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL4822.csv,"[1.440722741738395, 1.3709794897468917, 1.6985202495371523, 1.487741370728914]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL4333.csv,"[2.6340318823804805, 2.0584712824141467, 2.461641513646378, 2.741052807325687]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL3231.csv,"[1.2144558367724352, 1.0957301066450995, 0.9315729514736275, 0.679196316808638]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL2034.csv,"[1.7513538409251237, 1.8150038574549598, 1.8362938923004104, 1.4763638509391046]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL1827.csv,"[3.734376148807186, 1.9654410664116007, 1.3139864818900264, 1.1676282631590678]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL1824.csv,"[1.327429625992482, 0.8840212798993121, 0.8069720035928207, 0.6673925271913804]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL1913.csv,"[2.0341973311246426, 1.8043517862440133, 1.6847828957255437, 1.3491316491591094]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL1907598.csv,"[3.675622991908602, 1.6691847763532663, 1.6084418835759857, 1.462308528302491]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL234.csv,"[1.8472776224119292, 2.8492337646327077, 1.717803855195903, 1.428107599312738]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL1957.csv,"[1.1237540216354696, 0.7400524021466989, 0.7817989240677318, 0.5823507848040578]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL2842.csv,"[3.630956259387913, 1.3720864266111796, 1.0894474014075088, 1.0727739264300271]"
