path,0
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL268.csv,"[2.056496698658833, 2.270293634101163, 2.154042646840396, 1.6872550576347038]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL1824.csv,"[1.327429625992482, 0.8840212798993121, 0.8069720035928207, 0.6673925271913804]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL2292.csv,"[1.3900473759557326, 0.8629617903627034, 0.5072448161461456, 0.42101175208523195]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL3706.csv,"[1.607833349675421, 1.3263675013470835, 1.132395536932001, 1.0281442648204202]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL248.csv,"[2.3946680239571307, 1.6398024940847389, 1.2609242514604706, 0.9656818545721751]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL3976.csv,"[1.9254666822273752, 1.1998156873018495, 1.2850141400789186, 0.9221068251168234]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL287.csv,"[1.445232792243134, 1.2192290355351318, 1.128505801548534, 0.9862264959832481]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL1293286.csv,"[0.09677240180745049, 0.060969479153399314, 0.05063667510804524, 0.04361831764490649]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL210.csv,"[2.3085837735232215, 2.3821247644736863, 1.3795700425274906, 1.2181957991844885]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL3227.csv,"[1.6688586534116452, 1.0663100964787444, 1.0034912069426978, 1.0105699759897986]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL249.csv,"[1.4410539709126657, 1.1591291476784744, 1.142867767985417, 0.5124024010815516]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL344.csv,"[1.444240009131656, 1.3004192001428236, 2.3686391541121092, 3.2279200776666084]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL2276.csv,"[1.5132016096377656, 0.9052173523471201, 0.7052046271378024, 0.7469935143079807]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL3267.csv,"[1.8952124199850997, 1.5614427257008552, 1.4859505840314553, 1.2684257772112157]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL4036.csv,"[1.0525571347112397, 0.8886743590867692, 0.6096827935702398, 0.5142346387480717]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL3371.csv,"[2.2596830193041844, 1.3196765372649768, 1.1290545735893551, 0.9720614479996897]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL2971.csv,"[1.1823468342487677, 1.0609512937005474, 1.0453663069734696, 0.9654639865331149]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL252.csv,"[3.3692903484686223, 1.8071676904924667, 1.4591456597157453, 1.2529008683850325]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL260.csv,"[1.7247809480564855, 1.6607801071740276, 1.5080474988161654, 1.4032242345520733]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL4361.csv,"[0.6205693799439663, 0.38733322980722523, 0.39262184086532337, 0.36085202835570246]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL205.csv,"[2.9520770231830142, 1.5269008856085313, 1.5902860716281457, 1.2798282727491632]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL2093864.csv,"[1.3893438083111735, 1.0836361390758211, 0.9028620471226875, 0.8488258662100653]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL209.csv,"[1.2086280584061424, 1.0927327208874245, 0.9080938051899073, 0.7398026285115237]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL4179.csv,"[0.9978578422025729, 0.7182756726572568, 0.5779898573886699, 0.4541088324105397]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL1907600.csv,"[0.9499496040051172, 1.1718134481439095, 0.9234765416629587, 0.9276734309472926]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL264.csv,"[2.372389039448119, 1.1745793929335306, 1.0873056837653996, 0.9735712552072245]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL256.csv,"[1.5771504818303586, 1.3908323363014947, 1.2112499859499035, 1.0881085372541208]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL262.csv,"[1.3741011136546206, 1.5102607351298099, 1.3757360472843416, 1.4114374589822183]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL258.csv,"[1.7103196897391333, 1.4024905662911438, 1.4468764082885095, 1.3409553955655806]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL1871.csv,"[1.4133865071185696, 1.5577642299636358, 1.379821012291086, 1.1191920018632038]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL4805.csv,"[0.8548860412869731, 0.7223350897560787, 0.7005572753913711, 0.6913543710233024]"
